MS_IMP_SEG,YR_BUILT
R1295707.1.1,1983
R1295805.1.1,1985
R1298161.1.1,1982
R1298358.1.1,1985
R1298535.1.1,1983
R1299446.1.1,1962
R1299641.1.1,1995
R1299650.1.1,2000
R1299650.2.1,2000
R1299696.1.1,1987
R1299810.1.1,1972
R1299810.1.2,1972
R1299810.2.1,1991
R1302272.1.1,1979
R1302691.1.1,1984
R1309505.1.1,1983
R1309658.5.1,2012
R1310101.1.1,1984
R1311618.1.1,1988
R1311618.2.1,1988
R1311707.1.1,1984
R1312289.1.1,1984
R1312298.1.1,1984
R1312305.1.1,1984
R1312314.1.1,1984
R1312323.1.1,1984
R1312332.1.1,1984
R1318112.1.1,1970
R1318112.2.1,1970
R1320467.1.1,2010
R1320653.1.1,1984
R1320939.1.1,1976
R1320939.1.2,1985
R1322973.1.1,1976
R1323026.1.1,1985
R1323231.2.1,2003
R1323240.1.1,1985
R1323268.1.1,1986
R132608.1.1,1969
R132617.1.1,1980
R1326540.1.1,2002
R1326540.2.1,2002
R1327148.1.1,1966
R1327451.1.1,1988
R1327451.2.1,1988
R1327460.1.1,1988
R1327479.1.1,2001
R1327530.2.1,1990
R1328904.1.1,1985
R1329495.1.1,1992
R1329495.2.1,1992
R1329495.2.2,1992
R1329495.3.1,1992
R1329495.3.2,1992
R1329538.1.1,1990
R1329538.2.1,1990
R1329565.1.1,1988
R1329565.2.1,1988
R1329565.3.1,1988
R1329574.1.1,1991
R1329574.2.1,1991
R1332980.1.1,1982
R1332980.2.1,1982
R1332980.3.1,1982
R1332980.4.1,1983
R1332980.5.1,1988
R1333042.1.1,1990
R1333211.1.1,1990
R1334586.1.1,1985
R1334602.1.1,1956
R1334764.1.1,1984
R1334773.1.1,1984
R1334808.1.1,1984
R1336076.1.1,1987
R1336085.1.1,1984
R1336085.2.1,2007
R1336138.1.1,1992
R1337850.1.1,1985
R1337896.1.1,1960
R1338298.1.1,1985
R1341211.1.1,1999
R1341211.2.1,1999
R1341211.3.1,1999
R1342309.1.1,1985
R1343905.1.1,1991
R1344030.1.1,1984
R1344049.1.1,1984
R1344058.1.1,1984
R1344067.1.1,1984
R1344076.1.1,1984
R134679.1.1,1988
R1351888.1.1,1986
R1362545.1.1,1978
R1363036.1.1,1975
R1363492.1.1,1986
R1369147.1.1,1996
R1369165.1.1,1993
R1369209.1.1,1991
R1369218.1.1,1999
R1369272.1.1,2000
R1369281.1.1,1996
R1369290.1.1,1997
R1369290.2.1,1997
R1369290.3.1,1998
R1369307.1.1,2002
R1369316.1.1,1985
R1369325.1.1,1989
R1369343.1.1,1995
R1369352.1.1,2002
R1369744.1.1,1986
R1369780.1.1,1989
R1371134.1.1,1989
R1371152.1.1,2002
R1371161.1.1,1993
R137211.1.1,1988
R137220.1.1,1985
R1372384.1.1,1962
R1372384.2.1,1962
R137649.1.1,1961
R1378011.1.1,1986
R1378048.1.1,1995
R138489.1.1,1970
R138540.1.1,1969
R138540.1.2,1930
R138559.1.1,1980
R138648.1.1,1983
R138666.1.1,1984
R1387305.1.1,1972
R138773.1.1,1985
R1388037.1.1,1986
R1388046.1.1,1985
R1388055.1.1,1985
R138853.1.1,1922
R138853.1.3,1922
R138853.1.4,1922
R138862.1.1,2010
R138862.1.2,1991
R138899.1.1,2000
R138915.1.1,1960
R138924.1.1,1982
R1390685.1.1,2004
R1390694.3.1,1991
R1390694.4.1,1991
R1390694.6.1,1991
R1390809.1.1,2001
R1390809.2.1,2007
R1390818.1.1,2001
R1390827.1.1,1999
R1390925.1.1,2001
R1390934.1.1,1999
R1390934.2.1,1999
R1390934.3.1,2000
R1390961.1.1,2000
R1391014.1.1,1993
R1391014.2.1,1993
R1391014.3.1,1993
R1391014.4.1,2013
R1391014.4.2,2013
R1391014.4.3,2013
R1391023.1.1,1993
R139148.1.1,1993
R139148.1.2,1993
R139148.1.3,1993
R139424.1.1,1999
R139424.2.1,1960
R139424.2.2,1960
R139424.2.3,1976
R139424.3.1,1998
R1394663.1.1,1984
R1405045.1.1,1997
R1405045.1.2,1997
R1405054.1.1,1976
R1405170.1.1,1986
R1405456.1.1,1950
R1405456.2.1,1920
R1406179.1.1,1982
R1406179.1.3,1982
R1407212.1.1,1985
R1408603.2.1,1997
R1409345.1.1,2010
R1410057.1.1,1987
R1411127.3.1,1972
R1411127.4.1,1978
R1411127.5.1,1986
R1411127.6.1,2005
R1411298.1.1,1940
R1420242.1.1,1986
R1420242.2.1,1980
R1426120.1.1,1990
R1426166.1.1,1987
R1426594.2.1,2006
R1430240.1.1,2005
R1430339.1.1,1987
R1430357.1.1,1997
R1430384.1.1,1995
R1430400.1.1,1995
R1430428.1.1,1996
R1430428.1.2,2001
R1430446.1.1,1996
R1430455.1.1,1997
R1430482.1.1,1996
R1430482.1.3,1996
R1430482.2.1,1997
R1430491.1.1,1995
R1430507.1.1,1996
R1430534.1.1,1990
R1430561.1.1,1997
R1433979.1.1,1973
R1433997.1.1,1990
R1434004.1.1,1935
R1434004.1.2,1935
R1434317.1.1,1987
R1434326.1.1,1987
R1434344.1.1,1987
R1434353.1.1,1987
R1434362.1.1,1987
R1434371.1.1,1987
R1437555.1.1,1988
R1437706.1.1,1987
R1437715.1.1,1986
R1447090.1.1,1980
R1447964.1.1,1986
R1448286.1.1,1986
R1449141.1.1,1988
R1449953.1.1,1951
R1451798.1.1,1988
R1453224.1.1,1987
R1453395.1.1,1994
R1453395.2.1,1994
R1453876.1.1,1966
R1460485.1.1,1984
R1463428.1.1,1995
R1476682.1.1,1989
R1479689.1.1,1988
R1479689.1.10,1988
R1479689.1.11,1988
R1479689.1.2,1988
R1479689.1.3,1988
R1480123.1.1,1986
R1480123.1.2,1986
R1482924.1.1,1920
R1482924.4.1,1953
